日期,开盘,最高,最低,收盘,成交量
2014-01-01,2215.47,2215.47,2170.29,2194.63,453476509
2014-01-02,2211.48,2229.14,2206.77,2210.88,467160517
2014-01-03,2221.39,2233.48,2193.04,2209.92,367499211
2014-01-06,2208.95,2208.95,2196.36,2199.67,438832463
2014-01-07,2190.31,2193.7,2163.93,2183.83,495924477
2014-01-08,2206.26,2206.26,2170.95,2186.68,297011199
2014-01-09,2185.32,2187.57,2143.35,2171.25,134678344
2014-01-10,2157.69,2189.98,2131.66,2157.64,404431029
2014-01-13,2184.82,2198.35,2153.89,2177.63,113902889
2014-01-14,2174.36,2174.36,2162.56,2165.76,211155883
2014-01-15,2171.65,2171.65,2129.74,2161.0,335003976
2014-01-16,2142.86,2155.39,2122.28,2142.75,262441668
2014-01-17,2158.6,2178.66,2135.2,2147.65,270473672
2014-01-20,2149.08,2171.73,2121.91,2143.47,442128146
2014-01-21,2134.63,2143.03,2106.61,2125.48,125655266
2014-01-22,2122.96,2140.25,2093.08,2112.26,156125077
2014-01-23,2111.32,2129.12,2080.61,2107.72,493290131
2014-01-24,2131.71,2134.57,2105.05,2122.57,369980437
2014-01-27,2153.87,2156.07,2117.78,2137.43,449334794
2014-01-28,2143.15,2157.41,2100.04,2131.75,472663918
2014-01-29,2147.23,2172.68,2111.75,2143.28,433564621
2014-01-30,2148.37,2148.84,2126.14,2129.64,163393724
2014-01-31,2118.93,2122.33,2103.88,2117.63,236871668
2014-02-03,2134.74,2144.03,2105.03,2133.89,134504871
2014-02-04,2144.04,2172.72,2127.58,2142.29,279239377
2014-02-05,2172.09,2173.88,2149.44,2154.38,433039697
2014-02-06,2165.31,2165.31,2143.51,2145.29,200603540
2014-02-07,2170.38,2170.38,2160.87,2161.1,346295952
2014-02-10,2169.39,2169.39,2132.4,2163.54,111654760
2014-02-11,2187.2,2191.57,2160.49,2173.67,293840181
2014-02-12,2176.09,2195.9,2166.39,2166.71,311403093
2014-02-13,2181.28,2181.28,2156.39,2173.03,464932205
2014-02-14,2178.17,2193.54,2157.93,2177.81,270629305
2014-02-17,2172.43,2182.24,2152.41,2166.54,392069228
2014-02-18,2171.01,2173.75,2147.45,2164.31,100294122
2014-02-19,2184.6,2200.77,2150.86,2171.73,130496827
2014-02-20,2174.34,2174.34,2141.89,2162.06,446566475
2014-02-21,2182.14,2190.54,2175.92,2176.99,341540736
2014-02-24,2198.67,2212.06,2162.28,2184.69,390513308
2014-02-25,2213.5,2213.5,2168.98,2192.71,342278430
2014-02-26,2188.65,2188.65,2158.97,2178.85,343471231
2014-02-27,2164.64,2184.68,2129.19,2161.18,239304890
